Violations,AntennaViolations,RunTimeRoute,RunTimePlace,layercount,LayerM1,LayerM2,LayerM3,LayerM4,LayerM5,LayerM6,LayerM7,LayerL1,LayerL2,LayerL3,LayerL4,LayerBA,LayerBB,LayerBD,LayerBE,LayerBG,LayerFA,LayerFB,LayerU3T,LayerU3A,LayerLB,ViaCounts,NetCount,MetalStack,Date,Type40LP,RowDirection,RowCount,CoreUtil,CoreWidth,CoreHeight,AspectRatio,DoubleBack,FlipFirstRow,StartfromFirstRow
0,0,154,174,9,0,93386,109077,106969,63636,30174,0,0,0,0,0,0,0,0,0,0,724,0,0,0,0,248371,25124,6L1x_1T6x_1T18x_LB,050619,40LP_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,81,242,8,0,96303,124520,101117,56443,12144,0,0,0,0,0,0,0,0,0,0,476,0,0,0,0,243503,25324,6L1x_1T6x_LB,020619,40LP_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,151,175,8,0,91560,108972,99635,72120,22750,0,0,0,0,0,0,0,0,0,0,495,0,0,0,0,247228,25324,6L1x_1T6x_LB,050619,40LP_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,60,159,9,2,97516,123322,109734,62293,16226,0,0,0,0,0,0,0,0,0,0,1012,0,0,0,0,246455,25223,6L1x_2T6x_LB,020619,40LP_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,146,178,9,1,91928,107428,107398,77092,28602,0,0,0,0,0,0,0,0,0,0,2255,91,0,0,0,250507,25223,6L1x_2T6x_LB,050619,40LP_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,76,184,9,0,97319,121902,105280,47085,22022,3317,0,0,0,0,1476,0,0,0,0,0,0,0,0,0,245031,25140,7L1x_1T2x_LB,020619,40LP_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,160,172,9,0,91751,107159,102577,59201,31841,6502,0,0,0,0,3743,0,0,0,0,0,0,0,0,0,249593,25140,7L1x_1T2x_LB,050619,40LP_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,61,180,9,0,97371,121497,106054,48894,22393,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244445,25262,7L1x_1T6x_LB,020619,40LP_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,173,209,9,0,92951,105893,102166,60037,34743,6862,0,0,0,0,0,0,0,0,0,125,0,0,0,0,250054,25262,7L1x_1T6x_LB,050619,40LP_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,77,181,6,0,113380,153498,116939,0,0,0,0,0,0,0,50408,0,0,0,0,0,0,0,0,0,248378,25137,4L1x_1T2x_LB,060619,40LP_automotive_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,74,184,6,0,112182,168719,119151,0,0,0,0,0,0,0,28483,0,0,0,0,0,0,0,0,0,243348,25137,4L1x_1T2x_LB,100619,40LP_automotive_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,84,198,7,0,105893,128490,119304,47390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244913,25081,5L1x_1T18x_LB,060619,40LP_automotive_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,73,179,7,0,108999,149508,122138,29245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242447,25083,5L1x_1T18x_LB,100619,40LP_automotive_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,88,201,7,0,93839,128816,114559,45275,0,0,0,0,0,0,18643,0,0,0,0,0,0,0,0,0,244867,25115,5L1x_1T2x_LB,060619,40LP_automotive_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,69,173,7,0,99596,152044,120974,25520,0,0,0,0,0,0,11305,0,0,0,0,0,0,0,0,0,241147,25116,5L1x_1T2x_LB,100619,40LP_automotive_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,76,184,8,0,103914,126866,116319,47664,0,0,0,0,0,0,0,0,0,0,0,6215,0,0,0,0,244205,25103,5L1x_1T6x_1T18x_LB,060619,40LP_automotive_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,70,179,8,0,108469,148762,119648,29791,0,0,0,0,0,0,0,0,0,0,0,3246,0,0,0,0,242493,25103,5L1x_1T6x_1T18x_LB,100619,40LP_automotive_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,74,174,7,1,104302,126912,116222,47801,0,0,0,0,0,0,0,0,0,0,0,5890,0,0,0,0,244023,25114,5L1x_1T6x_LB,060619,40LP_automotive_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,67,166,7,0,108337,150010,119872,27735,0,0,0,0,0,0,0,0,0,0,0,3495,0,0,0,0,241513,25114,5L1x_1T6x_LB,100619,40LP_automotive_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,92,217,8,0,100371,123583,118309,50293,0,0,0,0,0,0,0,0,0,0,0,7426,335,0,0,0,246643,25113,5L1x_2T6x_LB,060619,40LP_automotive_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,73,194,8,0,104452,147202,122680,30686,0,0,0,0,0,0,0,0,0,0,0,4348,0,0,0,0,243599,25114,5L1x_2T6x_LB,100619,40LP_automotive_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,76,209,9,2,96788,122067,108919,60639,17389,0,4048,0,0,0,0,0,0,0,0,0,0,0,0,0,246054,25178,6L1x_1L2x_1T6x_LB,060619,40LP_automotive_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,60,173,9,3,103636,152986,117162,37248,8461,0,872,0,0,0,0,0,0,0,0,0,0,0,0,0,241993,25178,6L1x_1L2x_1T6x_LB,100619,40LP_automotive_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,76,214,8,0,95590,124551,99396,55054,14874,0,0,0,0,0,2148,0,0,0,0,0,0,0,0,0,243722,25164,6L1x_1T2x_LB,060619,40LP_automotive_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,70,168,8,0,102955,153117,106369,32331,6510,0,0,0,0,0,268,0,0,0,0,0,0,0,0,0,239481,25164,6L1x_1T2x_LB,100619,40LP_automotive_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,79,198,9,0,99470,122990,106210,49780,20824,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,245082,25124,6L1x_1T6x_1T18x_LB,060619,40LP_automotive_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,67,170,9,1,77985,101743,95429,58565,23257,0,0,0,0,0,0,0,0,0,0,1452,0,0,0,0,246851,23894,6L1x_1T6x_1T18x_LB,070619,40LP_automotive_ARM,HORIZONTAL,179,0.955,226.48,225.54,0.996,ON,NO,NO
0,0,76,182,9,0,104572,146918,115138,30172,12609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241616,25124,6L1x_1T6x_1T18x_LB,100619,40LP_automotive_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,66,181,8,0,96215,124732,101428,56218,11884,0,0,0,0,0,0,0,0,0,0,465,0,0,0,0,243274,25324,6L1x_1T6x_LB,060619,40LP_automotive_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,57,176,8,0,102385,154244,107580,31531,5369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240125,25324,6L1x_1T6x_LB,100619,40LP_automotive_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,74,230,9,2,96768,123082,110161,62618,16480,0,0,0,0,0,0,0,0,0,0,848,0,0,0,0,246261,25223,6L1x_2T6x_LB,060619,40LP_automotive_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,58,177,9,1,104082,150710,120864,38719,8622,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,243042,25178,6L1x_2T6x_LB,100619,40LP_automotive_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,74,175,9,0,97325,122442,105207,46546,21839,3364,0,0,0,0,1525,0,0,0,0,0,0,0,0,0,244700,25140,7L1x_1T2x_LB,060619,40LP_automotive_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,68,172,9,0,103700,148192,115655,28564,12408,267,0,0,0,0,143,0,0,0,0,0,0,0,0,0,241098,25141,7L1x_1T2x_LB,100619,40LP_automotive_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,67,207,9,0,97786,122187,105935,48301,22104,1933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244775,25262,7L1x_1T6x_LB,060619,40LP_automotive_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,65,197,9,0,104065,150376,117586,26239,10299,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240399,25262,7L1x_1T6x_LB,100619,40LP_automotive_ARM,HORIZONTAL,209,0.702,263.91,263.34,0.998,ON,NO,NO
0,0,70,157,6,0,88002,170384,133760,0,0,0,0,0,0,0,47024,0,0,0,0,0,0,0,0,0,235185,23643,4L1x_1T2x_LB,220519,40LP_automotive_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,85,195,6,8,73574,150220,134508,68177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232219,23583,5L1x_1T18x_LB,210519,40LP_automotive_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,72,168,6,11,73300,150305,134825,68145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232624,23583,5L1x_1T18x_LB,220519,40LP_automotive_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,82,207,7,0,72163,151485,122526,64847,0,0,0,0,0,0,12420,0,0,0,0,0,0,0,0,0,229580,23582,5L1x_1T2x_LB,210519,40LP_automotive_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,73,178,7,0,72084,151681,122633,64748,0,0,0,0,0,0,12347,0,0,0,0,0,0,0,0,0,229683,23582,5L1x_1T2x_LB,220519,40LP_automotive_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,479,221,7,9,73706,150093,131527,67972,0,0,0,0,0,0,0,0,0,0,0,3465,0,0,0,0,233004,23579,5L1x_1T6x_1T18x_LB,210519,40LP_automotive_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,67,162,7,8,73685,149763,131447,68350,0,0,0,0,0,0,0,0,0,0,0,3511,0,0,0,0,233238,23579,5L1x_1T6x_1T18x_LB,220519,40LP_automotive_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,66,175,7,0,73306,151997,130505,64606,0,0,0,0,0,0,0,0,0,0,0,3279,0,0,0,0,230208,23582,5L1x_1T6x_LB,220519,40LP_automotive_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,92,213,8,0,72423,148361,129326,66072,0,0,0,0,0,0,0,0,0,0,0,4987,1988,0,0,0,231418,23580,5L1x_2T6x_LB,210519,40LP_automotive_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,75,167,8,0,72508,148326,129140,65999,0,0,0,0,0,0,0,0,0,0,0,5031,2057,0,0,0,231436,23580,5L1x_2T6x_LB,220519,40LP_automotive_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,56,183,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23847,6L1x_1L2x_1T6x_LB,210519,40LP_automotive_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,60,196,9,0,70919,149674,120392,60926,17986,0,2843,0,0,0,0,0,0,0,0,229,0,0,0,0,231810,23847,6L1x_1L2x_1T6x_LB,220519,40LP_automotive_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,81,190,8,0,71649,145446,124858,51660,14150,0,0,0,0,0,1100,0,0,0,0,0,0,0,0,0,228575,23584,6L1x_1T2x_LB,210519,40LP_automotive_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,66,163,8,0,71638,144780,125145,52216,13914,0,0,0,0,0,1185,0,0,0,0,0,0,0,0,0,228421,23584,6L1x_1T2x_LB,220519,40LP_automotive_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,102,263,8,6,72057,145780,117560,71027,18370,0,0,0,0,0,0,0,0,0,0,448,0,0,0,0,233843,23582,6L1x_1T6x_1T18x_LB,210519,40LP_automotive_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
1,0,67,176,8,7,71857,145765,117856,71149,18260,0,0,0,0,0,0,0,0,0,0,441,0,0,0,0,234032,23582,6L1x_1T6x_1T18x_LB,220519,40LP_automotive_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,75,187,8,7,71657,145623,118021,71153,18225,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,233803,23582,6L1x_1T6x_1T18x_LB,230519,40LP_automotive_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,107,202,8,0,72061,147136,126975,50069,11548,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,227062,23666,6L1x_1T6x_LB,210519,40LP_automotive_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,59,184,8,0,71913,147225,127030,50001,11609,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,227264,23666,6L1x_1T6x_LB,220519,40LP_automotive_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,90,211,9,0,70495,147815,120003,65762,16056,0,0,0,0,0,0,0,0,0,0,1521,181,0,0,0,230782,23781,6L1x_2T6x_LB,210519,40LP_automotive_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,66,161,9,0,70583,148016,119777,65578,16179,0,0,0,0,0,0,0,0,0,0,1535,181,0,0,0,230764,23781,6L1x_2T6x_LB,220519,40LP_automotive_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,8,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7L1x_1T2x_LB,210519,40LP_automotive_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,81,190,9,0,70929,147895,118794,63489,16018,4447,0,0,0,0,1367,0,0,0,0,0,0,0,0,0,231888,23586,7L1x_1T2x_LB,220519,40LP_automotive_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,100,265,9,0,71243,149705,120111,62543,15147,3030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229674,23775,7L1x_1T6x_LB,210519,40LP_automotive_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,65,197,9,0,71157,149770,120290,62603,15065,2924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229789,23775,7L1x_1T6x_LB,220519,40LP_automotive_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,328,194,6,0,87018,153674,140621,0,0,0,0,0,0,0,75035,0,0,0,0,0,0,0,0,0,237293,23643,4L1x_1T2x_LB,050619,40LP_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,73,174,6,0,88352,170278,133468,0,0,0,0,0,0,0,47114,0,0,0,0,0,0,0,0,0,234835,23643,4L1x_1T2x_LB,220519,40LP_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,154,195,7,0,65196,117866,142262,101311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241982,23581,5L1x_1T18x_LB,050619,40LP_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,77,185,6,7,73247,151595,134558,66600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231480,23583,5L1x_1T18x_LB,220519,40LP_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,142,326,7,0,61404,113145,115164,100486,0,0,0,0,0,0,32774,0,0,0,0,0,0,0,0,0,242622,23582,5L1x_1T2x_LB,050619,40LP_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,66,157,7,0,72051,151564,122471,64842,0,0,0,0,0,0,12611,0,0,0,0,0,0,0,0,0,229677,23582,5L1x_1T2x_LB,220519,40LP_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,162,189,8,0,64474,116552,136391,98189,0,0,0,0,0,0,0,0,0,0,0,8416,0,0,0,0,242673,23590,5L1x_1T6x_1T18x_LB,050619,40LP_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,99,224,7,9,73531,150765,131436,67137,0,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,232340,23579,5L1x_1T6x_1T18x_LB,220519,40LP_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,156,186,7,0,64304,116974,137400,99828,0,0,0,0,0,0,0,0,0,0,0,7224,0,0,0,0,242105,23582,5L1x_1T6x_LB,050619,40LP_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,81,178,7,0,73262,152226,130636,64504,0,0,0,0,0,0,0,0,0,0,0,3258,0,0,0,0,230505,23582,5L1x_1T6x_LB,220519,40LP_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,142,199,8,0,63534,111876,132581,95891,0,0,0,0,0,0,0,0,0,0,0,11240,8234,0,0,0,242921,23580,5L1x_2T6x_LB,050619,40LP_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,68,171,8,0,72408,147954,129297,66439,0,0,0,0,0,0,0,0,0,0,0,4969,2055,0,0,0,231561,23580,5L1x_2T6x_LB,220519,40LP_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,69,172,9,0,71030,149383,120647,61181,17657,0,2880,0,0,0,0,0,0,0,0,225,0,0,0,0,231812,23847,6L1x_1L2x_1T6x_LB,220519,40LP_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,91,176,8,0,71286,145308,125317,51743,13992,0,0,0,0,0,1133,0,0,0,0,0,0,0,0,0,228452,23584,6L1x_1T2x_LB,220519,40LP_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,82,181,8,5,71912,147143,118889,69315,16746,0,0,0,0,0,0,0,0,0,0,441,0,0,0,0,232391,23582,6L1x_1T6x_1T18x_LB,220519,40LP_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,60,205,8,0,71876,146638,127124,50645,11525,0,0,0,0,0,0,0,0,0,0,271,0,0,0,0,227326,23666,6L1x_1T6x_LB,220519,40LP_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,68,185,9,0,70478,147997,120082,65634,16011,0,0,0,0,0,0,0,0,0,0,1528,181,0,0,0,230769,23781,6L1x_2T6x_LB,220519,40LP_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,89,200,9,0,71022,148572,118392,62955,16233,4313,0,0,0,0,1418,0,0,0,0,0,0,0,0,0,231557,23586,7L1x_1T2x_LB,220519,40LP_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
0,0,66,184,9,0,71269,149532,120099,62899,15166,2875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230038,23775,7L1x_1T6x_LB,220519,40LP_Virage,HORIZONTAL,201,0.7,253.26,253.26,1.0,ON,NO,NO
